cash,asset_value,total_assets,reward,date
1000000,0,1000000,0,2019/1/3
900712.1983,99019.15663,999731.3549,-0.00053729,2019/1/4
785149.4179,218945.6546,1004095.072,0.004095072,2019/1/7
698059.485,307235.0549,1005294.54,0.00529454,2019/1/8
611031.3538,391271.8512,1002303.205,-0.000672375,2019/1/9
505536.8223,504310.8988,1009847.721,0.009847721,2019/1/10
405779.2554,604076.4553,1009855.711,0.009855711,2019/1/11
310123.1687,703256.6824,1013379.851,0.013379851,2019/1/14
235762.9366,771161.8509,1006924.787,0.000554951,2019/1/15
144111.2688,882053.1024,1026164.371,0.026164371,2019/1/16
54508.9598,966919.2692,1021428.229,0.016812845,2019/1/17
75238.37186,940323.9177,1015562.29,0.005230532,2019/1/18
94162.17685,938070.2852,1032232.462,0.032232462,2019/1/21
102377.5951,939886.9447,1042264.54,0.04226454,2019/1/22
7211.712306,1022626.213,1029837.925,0.017915218,2019/1/23
33765.62033,993125.5246,1026891.145,0.012141152,2019/1/24
53882.6819,988130.7012,1042013.383,0.041772411,2019/1/25
58094.25669,994197.0582,1052291.315,0.052291315,2019/1/28
71050.82476,986727.1725,1057777.997,0.057777997,2019/1/29
84519.21838,978552.2704,1063071.489,0.063071489,2019/1/30
89388.1107,967135.9117,1056524.022,0.050365014,2019/1/31
99190.21581,964258.9484,1063449.164,0.063449164,2019/2/1
104498.4202,980360.45,1084858.87,0.08485887,2019/2/11
14403.12508,1091039.086,1105442.211,0.105442211,2019/2/12
34207.04531,1074349.746,1108556.792,0.108556792,2019/2/13
46198.15866,1077360.345,1123558.503,0.123558503,2019/2/14
49576.457,1076239.532,1125815.989,0.125815989,2019/2/15
64438.54036,1042439.951,1106878.491,0.090057361,2019/2/18
65243.17002,1074906.094,1140149.264,0.140149264,2019/2/19
70061.50334,1070677.087,1140738.59,0.14073859,2019/2/20
77406.40311,1066470.931,1143877.334,0.143877334,2019/2/21
79025.67065,1063050.956,1142076.626,0.140502413,2019/2/22
84025.67062,1090637.484,1174663.154,0.174663154,2019/2/25
85317.68417,1167294.872,1252612.556,0.252612556,2019/2/26
85317.68417,1152877.767,1238195.451,0.226685823,2019/2/27
87142.53401,1148393.278,1235535.812,0.22190291,2019/2/28
87142.53401,1142598.942,1229741.476,0.211482774,2019/3/1
93090.77042,1167424.415,1260515.186,0.260515186,2019/3/4
93090.77042,1176092.75,1269183.521,0.269183521,2019/3/5
93090.77042,1182858.856,1275949.626,0.275949626,2019/3/6
93090.77042,1191011.288,1284102.059,0.284102059,2019/3/7
93090.77042,1177798.084,1270888.855,0.260599015,2019/3/8
93090.77042,1143860.88,1236951.651,0.200233068,2019/3/11
93090.77042,1154107.791,1247198.562,0.218459805,2019/3/12
93090.77042,1173465.587,1266556.357,0.252892567,2019/3/13
95851.08789,1144734.847,1240585.935,0.206697566,2019/3/14
95851.08789,1125846.609,1221697.697,0.173100032,2019/3/15
100851.0877,1136057.176,1236908.264,0.200155894,2019/3/18
101000.8265,1170493.858,1271494.684,0.261676637,2019/3/19
101000.8265,1164754.27,1265755.096,0.25146732,2019/3/20
10888.6935,1251384.236,1262272.93,0.245273402,2019/3/21
20675.88444,1248269.032,1268944.917,0.257141227,2019/3/22
20675.88444,1251248.525,1271924.409,0.262441012,2019/3/25
21845.37821,1223392.01,1245237.389,0.21497136,2019/3/26
21922.28273,1209563.947,1231486.23,0.190511427,2019/3/27
26922.28262,1206985.112,1233907.394,0.194818083,2019/3/28
31922.28258,1194147.715,1226069.998,0.180877281,2019/3/29
31922.28258,1241956.672,1273878.955,0.265917669,2019/4/1
31922.28258,1286295.449,1318217.732,0.318217732,2019/4/2
31922.28258,1283519.701,1315441.984,0.313336301,2019/4/3
31922.28258,1306136.536,1338058.819,0.338058819,2019/4/4
31922.28258,1317204.784,1349127.067,0.349127067,2019/4/8
33003.19613,1313810.427,1346813.623,0.345098853,2019/4/9
33003.19613,1309589.886,1342593.082,0.337749961,2019/4/10
33003.19613,1309286.074,1342289.27,0.337220958,2019/4/11
33003.19613,1278360.124,1311363.32,0.283372075,2019/4/12
33003.19613,1273178.618,1306181.814,0.274349933,2019/4/15
33003.19613,1262084.358,1295087.554,0.255032385,2019/4/16
39447.80942,1293936.779,1333384.589,0.321715949,2019/4/17
43618.9094,1285556.913,1329175.823,0.314387561,2019/4/18
46317.37191,1277896.113,1324213.485,0.30574704,2019/4/19
52899.42855,1284301.655,1337201.083,0.328361306,2019/4/22
54317.57572,1253770.689,1308088.265,0.277669483,2019/4/23
54674.42753,1258697.512,1313371.939,0.286869523,2019/4/24
54674.42753,1273252.275,1327926.702,0.312212568,2019/4/25
55735.997,1250522.291,1306258.288,0.274483091,2019/4/26
55735.997,1245989.031,1301725.028,0.266589688,2019/4/29
55735.997,1241253.898,1296989.895,0.258344779,2019/4/30
55735.997,1236424.75,1292160.747,0.24993617,2019/5/6
60350.50331,1153842.61,1214193.114,0.114177366,2019/5/7
60350.50331,1157673.053,1218023.556,0.120847009,2019/5/8
65350.50333,1145279.399,1210629.903,0.107973031,2019/5/9
65350.50333,1127723.553,1193074.056,0.07740444,2019/5/10
69257.76771,1173642.834,1242900.602,0.164163419,2019/5/13
69966.86214,1146663.036,1216629.898,0.118420343,2019/5/14
77068.25179,1135357.807,1212426.059,0.111100534,2019/5/15
82068.25163,1149371.281,1231439.533,0.144207176,2019/5/16
87068.25175,1137497.75,1224566.002,0.132238847,2019/5/17
87068.25175,1110896.446,1197964.698,0.085920123,2019/5/20
87068.25175,1107201.443,1194269.695,0.079486309,2019/5/21
15673.44475,1196674.652,1212348.096,0.110964784,2019/5/22
22625.54828,1199301.842,1221927.39,0.127644443,2019/5/23
29540.63653,1169590.2,1199130.837,0.087950627,2019/5/24
30093.77864,1168556.33,1198650.108,0.087113573,2019/5/27
31097.51872,1193353.124,1224450.642,0.13203798,2019/5/28
31097.51872,1205636.685,1236734.204,0.153426363,2019/5/29
31097.51872,1209547.374,1240644.892,0.160235732,2019/5/30
