cash,asset_value,total_assets,reward,date
1000000,0,1000000,0,2019/1/3
859579.9991,139186.771,998766.7701,-0.00246646,2019/1/4
719159.9994,286620.0869,1005780.086,0.005780086,2019/1/7
578739.9988,427052.7903,1005792.789,0.005792789,2019/1/8
438319.9996,563308.8078,1001628.807,-0.002511192,2019/1/9
297899.9995,714525.3496,1012425.349,0.012425349,2019/1/10
157479.9991,850554.3221,1008034.321,0.003697184,2019/1/11
17059.99899,998337.3172,1015397.316,0.015397316,2019/1/14
17059.99899,986471.4964,1003531.495,-0.008154394,2019/1/15
17059.99899,1006815.189,1023875.188,0.023875188,2019/1/16
17059.99899,1005342.366,1022402.365,0.020963886,2019/1/17
17059.99899,999851.6664,1016911.665,0.010110522,2019/1/18
17059.99899,1014628.75,1031688.749,0.031688749,2019/1/21
17059.99899,1024443.398,1041503.397,0.041503397,2019/1/22
17059.99899,1009788.784,1026848.783,0.012778148,2019/1/23
17059.99899,1009507.048,1026567.047,0.012225902,2019/1/24
17059.99899,1016484.334,1033544.333,0.025902433,2019/1/25
17059.99899,1030413.159,1047473.158,0.047473158,2019/1/28
17059.99899,1029083.494,1046143.493,0.04487409,2019/1/29
17059.99899,1034906.139,1051966.138,0.051966138,2019/1/30
17059.99899,1026384.525,1043444.524,0.035343869,2019/1/31
17059.99899,1040897.882,1057957.881,0.057957881,2019/2/1
17059.99899,1057473.681,1074533.68,0.07453368,2019/2/11
17059.99899,1073895.618,1090955.617,0.090955617,2019/2/12
17059.99899,1083389.541,1100449.54,0.10044954,2019/2/13
17059.99899,1109018.434,1126078.433,0.126078433,2019/2/14
17059.99899,1110400.349,1127460.348,0.127460348,2019/2/15
17059.99899,1087449.823,1104509.822,0.084153873,2019/2/18
17059.99899,1120235.067,1137295.066,0.137295066,2019/2/19
17059.99899,1122093.383,1139153.382,0.139153382,2019/2/20
17059.99899,1123537.115,1140597.114,0.140597114,2019/2/21
17059.99899,1121388.387,1138448.386,0.136564525,2019/2/22
17059.99899,1146902.428,1163962.427,0.163962427,2019/2/25
17059.99899,1217827.817,1234887.816,0.234887816,2019/2/26
17059.99899,1205467.363,1222527.362,0.212517988,2019/2/27
17059.99899,1213585.071,1230645.07,0.227209335,2019/2/28
17059.99899,1207164.867,1224224.866,0.215590114,2019/3/1
17059.99899,1242934.185,1259994.184,0.259994184,2019/3/4
17059.99899,1260931.609,1277991.608,0.277991608,2019/3/5
17059.99899,1274774.716,1291834.715,0.291834715,2019/3/6
17059.99899,1285100.024,1302160.023,0.302160023,2019/3/7
17059.99899,1274625.358,1291685.357,0.283641287,2019/3/8
17059.99899,1233624.712,1250684.711,0.211154,2019/3/11
17059.99899,1243755.134,1260815.133,0.229064128,2019/3/12
17059.99899,1256828.956,1273888.955,0.252178053,2019/3/13
17059.99899,1234984.817,1252044.816,0.213558603,2019/3/14
17059.99899,1220493.751,1237553.75,0.187939055,2019/3/15
17059.99899,1237958.975,1255018.974,0.218816781,2019/3/18
17059.99899,1277090.266,1294150.265,0.287999132,2019/3/19
17059.99899,1268821.782,1285881.781,0.273380828,2019/3/20
17059.99899,1267341.801,1284401.8,0.270764288,2019/3/21
17059.99899,1271914.195,1288974.194,0.278848073,2019/3/22
17059.99899,1271840.153,1288900.152,0.27871717,2019/3/25
17059.99899,1240216.624,1257276.623,0.222808202,2019/3/26
17059.99899,1226749.084,1243809.083,0.1989982,2019/3/27
17059.99899,1246656.452,1263716.451,0.234193527,2019/3/28
17059.99899,1233702.786,1250762.785,0.211292031,2019/3/29
17059.99899,1280345.317,1297405.316,0.293753915,2019/4/1
17059.99899,1317286.741,1334346.74,0.33434674,2019/4/2
17059.99899,1320284.659,1337344.658,0.337344658,2019/4/3
17059.99899,1342535.667,1359595.666,0.359595666,2019/4/4
17059.99899,1354486.939,1371546.938,0.371546938,2019/4/8
17059.99899,1353749.603,1370809.602,0.370272008,2019/4/9
17059.99899,1356878.072,1373938.071,0.373938071,2019/4/10
17059.99899,1357140.638,1374200.637,0.374200637,2019/4/11
17059.99899,1321353.024,1338413.023,0.312370527,2019/4/12
17059.99899,1315051.018,1332111.017,0.301482578,2019/4/15
17059.99899,1313358.013,1330418.012,0.298557581,2019/4/16
17059.99899,1359465.1,1376525.099,0.376525099,2019/4/17
17059.99899,1355994.947,1373054.946,0.370533994,2019/4/18
17059.99899,1348990.261,1366050.26,0.358440635,2019/4/19
17059.99899,1360243.519,1377303.518,0.377303518,2019/4/22
17059.99899,1327021.321,1344081.319,0.319960131,2019/4/23
17059.99899,1329098.77,1346158.769,0.323545926,2019/4/24
17059.99899,1336430.132,1353490.131,0.336200269,2019/4/25
17059.99899,1312161.512,1329221.511,0.294311264,2019/4/26
17059.99899,1299390.097,1316450.096,0.272267081,2019/4/29
17059.99899,1304782.46,1321842.459,0.281574604,2019/4/30
17059.99899,1303270.475,1320330.474,0.278964833,2019/5/6
17059.99899,1166441.65,1183501.649,0.042790566,2019/5/7
17059.99899,1235468.473,1252528.472,0.161934755,2019/5/8
17059.99899,1217619.637,1234679.636,0.131126657,2019/5/9
17059.99899,1193971.294,1211031.293,0.090308284,2019/5/10
17059.99899,1242405.059,1259465.058,0.173907692,2019/5/13
17059.99899,1212728.381,1229788.38,0.122684074,2019/5/14
17059.99899,1207630.703,1224690.702,0.113885194,2019/5/15
17059.99899,1229204.095,1246264.094,0.151122085,2019/5/16
17059.99899,1228257.517,1245317.516,0.149488239,2019/5/17
17059.99899,1198066.21,1215126.209,0.097376341,2019/5/20
17059.99899,1188960.368,1206020.367,0.081659143,2019/5/21
17059.99899,1203748.371,1220808.37,0.10718407,2019/5/22
17059.99899,1205221.877,1222281.876,0.109727424,2019/5/23
17059.99899,1183581.393,1200641.392,0.07237473,2019/5/24
17059.99899,1182754.536,1199814.535,0.070947528,2019/5/27
17059.99899,1201034.25,1218094.249,0.102499345,2019/5/28
17059.99899,1212438.929,1229498.927,0.122184462,2019/5/29
17059.99899,1220111.263,1237171.262,0.135427344,2019/5/30
17059.99899,1210602.391,1227662.39,0.119014496,2019/5/31
17059.99899,1207493.266,1224553.265,0.113647969,2019/6/3
17059.99899,1215208.705,1232268.704,0.126965253,2019/6/4
17059.99899,1202536.248,1219596.247,0.105091877,2019/6/5
17059.99899,1143203.271,1160263.27,0.002679814,2019/6/6
17059.99899,1188183.649,1205243.648,0.080318483,2019/6/10
17059.99899,1207427.876,1224487.875,0.113535103,2019/6/11
17059.99899,1250504.69,1267564.689,0.187888113,2019/6/12
17059.99899,1246672.594,1263732.593,0.181273698,2019/6/13
17059.99899,1245757.458,1262817.457,0.179694123,2019/6/14
17059.99899,1237570.585,1254630.584,0.165563119,2019/6/17
17059.99899,1241112.186,1258172.185,0.17167612,2019/6/18
17059.99899,1244839.245,1261899.244,0.178109235,2019/6/19
17059.99899,1263692.359,1280752.358,0.210650773,2019/6/20
17059.99899,1306053.625,1323113.624,0.283768706,2019/6/21
17059.99899,1309666.971,1326726.97,0.290005545,2019/6/24
17059.99899,1313123.399,1330183.398,0.295971535,2019/6/25
17059.99899,1303672.833,1320732.832,0.279659325,2019/6/26
17059.99899,1303487.97,1320547.969,0.279340242,2019/6/27
17059.99899,1320963.977,1338023.976,0.309504814,2019/6/28
17059.99899,1316012.286,1333072.285,0.300957917,2019/7/1
17059.99899,1352065.257,1369125.256,0.363187377,2019/7/2
