cash,asset_value,total_assets,reward,date
1000000,0,1000000,0,2019/1/3
879639.9996,120256.7411,999896.7406,-0.000206519,2019/1/4
759279.9988,247563.5068,1006843.506,0.006843506,2019/1/7
638919.999,368394.1493,1007314.148,0.007314148,2019/1/8
518560.0005,485849.1552,1004409.156,0.001525256,2019/1/9
398199.9994,615026.5899,1013226.589,0.013226589,2019/1/10
277839.9993,735429.8111,1013269.81,0.01326981,2019/1/11
157479.9993,858904.1386,1016384.138,0.016384138,2019/1/14
37119.99924,971171.5328,1008291.532,0.000329379,2019/1/15
37119.99924,993042.414,1030162.413,0.030162413,2019/1/16
37119.99924,990820.6467,1027940.646,0.025783931,2019/1/17
37119.99924,986250.3983,1023370.398,0.016777247,2019/1/18
37119.99924,1002166.017,1039286.017,0.039286017,2019/1/21
37119.99924,1008698.024,1045818.023,0.045818023,2019/1/22
37119.99924,992820.0556,1029940.055,0.014757712,2019/1/23
37119.99924,990659.9025,1027779.902,0.010532043,2019/1/24
37119.99924,1002322.841,1039442.84,0.033346959,2019/1/25
37119.99924,1012823.714,1049943.713,0.049943713,2019/1/28
37119.99924,1011226.647,1048346.646,0.046825548,2019/1/29
37119.99924,1019118.935,1056238.935,0.056238935,2019/1/30
37119.99924,1014965.088,1052085.088,0.04815241,2019/1/31
37119.99924,1026994.362,1064114.361,0.064114361,2019/2/1
37119.99924,1047638.272,1084758.272,0.084758272,2019/2/11
37119.99924,1063174.793,1100294.792,0.100294792,2019/2/12
37119.99924,1071210.957,1108330.957,0.108330957,2019/2/13
37119.99924,1095747.274,1132867.273,0.132867273,2019/2/14
37119.99924,1098553.711,1135673.711,0.135673711,2019/2/15
37119.99924,1079891.689,1117011.688,0.100579132,2019/2/18
37119.99924,1115834.041,1152954.041,0.152954041,2019/2/19
37119.99924,1117395.006,1154515.005,0.154515005,2019/2/20
37119.99924,1120919.418,1158039.417,0.158039417,2019/2/21
37119.99924,1123615.769,1160735.768,0.160735768,2019/2/22
37119.99924,1163730.168,1200850.167,0.200850167,2019/2/25
37119.99924,1240163.871,1277283.87,0.27728387,2019/2/26
37119.99924,1229593.601,1266713.601,0.258438017,2019/2/27
37119.99924,1232317.557,1269437.556,0.263294589,2019/2/28
37119.99924,1223469.693,1260589.693,0.247519632,2019/3/1
37119.99924,1255184.633,1292304.632,0.292304632,2019/3/4
37119.99924,1274976.83,1312096.829,0.312096829,2019/3/5
37119.99924,1289190.111,1326310.11,0.32631011,2019/3/6
37119.99924,1307975.353,1345095.353,0.345095353,2019/3/7
37119.99924,1307658.833,1344778.833,0.344543518,2019/3/8
37119.99924,1257518.385,1294638.384,0.257126569,2019/3/11
37119.99924,1266702.904,1303822.903,0.273139242,2019/3/12
37119.99924,1282579.107,1319699.106,0.300818478,2019/3/13
37119.99924,1266152.913,1303272.912,0.272180366,2019/3/14
37119.99924,1250528.214,1287648.213,0.244939612,2019/3/15
37119.99924,1259405.317,1296525.316,0.260416325,2019/3/18
37119.99924,1290873.064,1327993.063,0.315278507,2019/3/19
37119.99924,1279141.209,1316261.208,0.294824703,2019/3/20
37119.99924,1278847.313,1315967.313,0.294312313,2019/3/21
37119.99924,1284405.438,1321525.438,0.304002579,2019/3/22
37119.99924,1277104.045,1314224.044,0.291273025,2019/3/25
37119.99924,1245664.425,1282784.424,0.236459881,2019/3/26
37119.99924,1231571.874,1268691.873,0.21189034,2019/3/27
37119.99924,1236112.084,1273232.083,0.21980593,2019/3/28
37119.99924,1227848.489,1264968.488,0.205398835,2019/3/29
37119.99924,1283541.317,1320661.316,0.302496035,2019/4/1
37119.99924,1324220.197,1361340.197,0.361340197,2019/4/2
37119.99924,1324305.99,1361425.99,0.36142599,2019/4/3
37119.99924,1347571.506,1384691.506,0.384691506,2019/4/4
37119.99924,1350252.346,1387372.345,0.387372345,2019/4/8
37119.99924,1344125.005,1381245.004,0.376828496,2019/4/9
37119.99924,1289762.548,1326882.547,0.283282285,2019/4/10
37119.99924,1289870.385,1326990.385,0.283467851,2019/4/11
37119.99924,1259953.937,1297073.937,0.231988014,2019/4/12
37119.99924,1258801.782,1295921.781,0.230005401,2019/4/15
37119.99924,1248203.708,1285323.708,0.211768373,2019/4/16
37119.99924,1285254.969,1322374.968,0.275525701,2019/4/17
37119.99924,1347173.44,1384293.439,0.382074204,2019/4/18
37119.99924,1349064.118,1386184.118,0.385327659,2019/4/19
37119.99924,1354548.039,1391668.039,0.391668039,2019/4/22
37119.99924,1328652.953,1365772.952,0.347165722,2019/4/23
37119.99924,1336501.887,1373621.886,0.360654604,2019/4/24
37119.99924,1339385.602,1376505.602,0.365610448,2019/4/25
37119.99924,1320300.194,1357420.193,0.332810987,2019/4/26
37119.99924,1315285.749,1352405.748,0.324193352,2019/4/29
37119.99924,1307146.555,1344266.554,0.310205641,2019/4/30
37119.99924,1297150.318,1334270.317,0.293026486,2019/5/6
37119.99924,1215755.595,1252875.595,0.153144595,2019/5/7
37119.99924,1225189.193,1262309.192,0.169356819,2019/5/8
37119.99924,1205349.957,1242469.956,0.135261859,2019/5/9
37119.99924,1184721.976,1221841.975,0.099811391,2019/5/10
37119.99924,1236022.618,1273142.617,0.187974734,2019/5/13
37119.99924,1212474.98,1249594.979,0.147506654,2019/5/14
37119.99924,1208734.426,1245854.425,0.141078279,2019/5/15
37119.99924,1234653.702,1271773.701,0.185622166,2019/5/16
37119.99924,1228447.394,1265567.393,0.174956241,2019/5/17
37119.99924,1195241.991,1232361.991,0.117890692,2019/5/20
37119.99924,1188920.598,1226040.598,0.107026985,2019/5/21
37119.99924,1204940.929,1242060.928,0.134558919,2019/5/22
37119.99924,1208118.145,1245238.145,0.140019163,2019/5/23
37119.99924,1190587.195,1227707.195,0.109891136,2019/5/24
37119.99924,1191927.465,1229047.465,0.112194473,2019/5/27
37119.99924,1216218.549,1253338.548,0.15394021,2019/5/28
37119.99924,1224001.14,1261121.139,0.167315076,2019/5/29
37119.99924,1232164.007,1269284.006,0.181343471,2019/5/30
37119.99924,1223271.241,1260391.24,0.166060699,2019/5/31
37119.99924,1221576.205,1258696.204,0.163147674,2019/6/3
37119.99924,1224634.285,1261754.284,0.168403175,2019/6/4
37119.99924,1214289.648,1251409.648,0.150625275,2019/6/5
37119.99924,1148360.281,1185480.281,0.037321559,2019/6/6
37119.99924,1199818.363,1236938.363,0.125755471,2019/6/10
37119.99924,1204384.695,1241504.694,0.133602997,2019/6/11
