date,actions,transactions
2019-01-03,"[ 1.          0.24204582 -1.         -1.         -1.          1.
  1.         -1.          0.2504493  -1.         -1.          0.89203405
 -1.          1.          1.          1.          1.          1.
  1.          1.          0.42401433  1.          1.          1.
  0.20271596 -0.18118209  1.         -1.          0.33057177 -1.
 -0.32231307 -0.2359848   1.          0.39171308  0.1848529  -1.
 -1.         -1.          1.          0.4630273   1.         -0.21693823
  0.4167413  -1.         -1.         -1.         -0.9811609  -1.
 -1.         -1.        ]","[ 560.40618896   24.45994377    0.            0.            0.
  645.23620605  215.46337891    0.          247.1913147     0.
    0.          121.9055481     0.            8.5697546   322.70349121
  168.67445374  187.71446228  393.11575317  385.83224487  459.3772583
  101.38837433  589.10162354  233.97505188    0.           73.12774658
    0.          318.7149353     0.          121.82217407    0.
    0.            0.         1563.9173584    37.33601761  179.95103455
    0.            0.            0.          256.9135437   441.47451782
  317.30517578    0.          629.59466553    0.            0.
    0.            0.            0.            0.            0.        ]"
2019-01-04,"[ 1.          1.         -1.          1.         -1.          1.
  1.         -1.          0.9401136  -1.         -1.         -0.97244966
 -0.7605846   1.          1.          1.          1.          1.
  1.          1.          0.9189384  -1.          1.          0.7106107
  0.99239165 -0.6311653   1.         -1.          1.         -1.
 -1.         -1.          1.          1.         -1.          0.68872404
 -1.         -1.          1.         -0.6944729   1.          0.09934726
  1.         -1.          1.         -1.         -1.          1.
 -1.         -1.        ]","[ 554.12097168  102.43760681    0.         1134.53295898    0.
  654.9989624   212.77864075    0.          931.46954346    0.
    0.         -121.9055481     0.            8.70018864  316.57992554
  166.82571411  191.63769531  383.09771729  388.12643433  466.50494385
  239.40661621 -577.24053955  235.86352539    0.          355.74182129
    0.          320.1557312     0.          365.79119873    0.
    0.            0.         1555.11315918   94.4586792  -179.95103455
   86.05307007    0.            0.          254.23686218 -441.47451782
  310.79064941    0.         1470.45849609    0.           88.64556885
    0.            0.           94.13873291    0.            0.        ]"
2019-01-07,"[-0.6869366   1.         -1.          0.87038034 -1.          1.
  1.         -1.         -1.         -1.         -1.          1.
 -1.          1.          1.          1.         -1.          1.
  1.          1.          1.         -1.          1.          0.56871325
 -1.          1.          1.         -1.         -1.         -1.
 -1.         -0.4051767   1.          0.23309195 -1.          0.57008207
 -1.         -1.          1.         -0.25544655  1.         -1.
  0.7573029  -1.         -0.19973683  0.10526514  0.9876786   1.
  0.72139335 -1.        ]","[-374.91220093  102.19097137    0.          975.85028076    0.
  643.63317871  207.52398682    0.         -981.29650879    0.
    0.          133.19020081    0.            8.52676296  317.08987427
  159.81895447 -190.4907074   364.67868042  384.12783813  457.73294067
  243.18238831  -11.86108398  233.55973816    0.         -349.27908325
  501.83169556  313.42263794    0.         -357.36749268    0.
    0.            0.         1533.41308594   21.66350365    0.
   68.30995178    0.            0.          250.14257812    0.
  290.93786621    0.         1087.48510742    0.          -17.66856956
    7.31699944  134.56588745   93.44868469  123.34715271    0.        ]"
2019-01-08,"[ 1.          0.6016825  -1.          1.         -1.          1.
  1.          0.32789242  1.         -0.15377223 -1.         -0.8115547
 -1.          0.64601636  0.3350594   1.         -1.          1.
  1.          1.          1.         -0.7030535   1.         -0.79950327
  1.          0.56513155  1.         -1.         -1.          0.265041
 -0.8018719  -0.70136094  1.          1.         -0.8443777   1.
 -1.         -1.          1.          0.0595389   1.          0.08597705
  0.6699797  -0.98139036 -1.         -1.         -1.          0.6899971
 -1.         -1.        ]","[ 544.68011475   61.53582001    0.         1103.85021973    0.
  638.09692383  207.44219971  148.19996643  968.26043701    0.
    0.         -109.66510773    0.            5.47667837  106.72516632
  154.18107605 -186.4203949   353.54428101  388.99304199  448.10494995
  238.31880188    0.          230.99488831    0.          339.99264526
  281.38116455  313.77078247    0.         -130.24588013  124.00971222
    0.            0.         1542.02001953   93.41847992    0.
  128.4617157     0.            0.          253.35697937   55.38296509
  291.10217285    0.          962.0892334     0.          -70.97699928
   -7.31699944 -134.56588745   63.63384628 -123.34715271    0.        ]"
2019-01-09,"[ 1.          0.5937743  -1.          0.41138655 -1.          1.
  1.         -1.         -1.         -1.         -1.          1.
 -0.69179463  1.          1.          1.         -0.45458734  1.
  1.          1.          1.         -0.28538942  1.         -0.06909454
  1.         -0.7579814   1.         -1.          0.06008754 -1.
 -1.         -0.5330206   1.          1.         -1.          1.
 -1.         -1.          1.          0.57579947  1.         -1.
  1.         -1.          0.63230383 -1.          0.10777313  1.
 -1.         -1.        ]","[ 545.77404785   60.65395355    0.          448.91595459    0.
  641.24761963  209.91027832 -148.19996643 -971.94952393    0.
    0.          134.10327148    0.            8.48742867  337.18624878
  154.9095459    -2.4410553   356.33856201  393.68838501  449.6807251
  243.65640259    0.          232.73242188    0.          338.7052002
 -361.80841064  307.46713257    0.           21.43105698 -124.00971222
    0.            0.         1559.47851562   94.2556839     0.
  132.31573486    0.            0.          256.39974976  537.48736572
  289.95425415    0.         1443.50134277    0.           53.58688736
    0.           14.89904308   93.63453674    0.            0.        ]"
2019-01-10,"[ 1.          1.         -1.         -1.         -1.          1.
  1.         -1.          0.09781688 -1.          0.1852616   1.
 -1.          0.9594101   1.          1.          1.          1.
  1.          1.          1.         -1.          1.          1.
  0.5482167  -0.31128967  1.         -1.         -1.         -1.
 -1.          1.          1.          1.         -1.         -0.18055058
 -1.         -1.          1.          1.          1.          0.00972408
  1.         -1.         -1.         -1.          0.1580351   0.12848172
 -1.         -1.        ]","[  544.13476562   100.43689728     0.         -1068.78710938
     0.           640.45910645   205.98934937     0.
    94.35408783     0.            42.38988495   130.3600769
     0.             7.99318123   333.75610352   156.21582031
   185.33482361   355.59854126   372.87832642   435.13827515
   236.07064819     0.           230.69114685     0.
   180.51257324  -141.92495728   306.6355896      0.
   -21.43105698     0.             0.             0.
  1550.72424316    92.35230255     0.           -23.7387886
     0.             0.           252.11143494   935.08630371
   286.72354126     0.          1424.86682129     0.
   -53.58688736     0.            21.66276932    11.61101723
     0.             0.        ]"
2019-01-11,"[ 1.          1.         -1.         -1.         -1.          1.
  1.         -1.         -0.48728514 -1.         -1.          1.
 -1.          1.          1.          1.         -0.1566664   1.
  1.          1.          1.         -0.8841692   1.          1.
  1.          0.11520997  1.         -1.         -1.         -1.
 -1.          1.          1.          1.         -0.21454197 -1.
 -1.         -1.          1.          1.          1.         -1.
 -0.37342107 -1.          1.          0.43302488  0.21273685  0.3076905
 -1.         -1.        ]","[  545.77404785   102.23192596     0.         -1078.86499023
     0.           646.03656006   204.79464722     0.
  -288.02935028     0.           -42.38988495   128.64582825
     0.             8.29566956   322.91604614   155.10705566
   -28.89713478   347.80432129   373.94641113   438.87368774
   243.06416321     0.           227.69499207     0.
   299.38146973    54.22972107   306.80117798     0.
     0.             0.             0.             0.
  1568.38146973    91.4688797      0.          -132.92428589
     0.             0.           252.48316956   940.02630615
   293.59262085     0.          -536.23175049     0.
    84.04364014    29.33097458    29.08442116    28.28245735
     0.             0.        ]"
2019-01-14,"[ 0.48098278 -0.0091998  -1.          0.622206   -0.31636608  1.
  1.         -1.         -0.8596757  -1.         -0.81223655  1.
 -0.48718596  1.          1.          1.          0.3907392   1.
  1.          1.          1.         -0.5039174   1.         -1.
 -0.77164906 -0.5546613   1.         -1.         -0.54255766 -0.6114894
 -1.          0.40930384  1.          1.          1.         -1.
 -1.         -1.          1.         -0.4514978   1.          1.
  1.         -1.         -1.         -1.         -1.         -1.
  1.         -1.        ]","[ 2.60156616e+02 -9.53922272e-01  0.00000000e+00  6.65005737e+02
  0.00000000e+00  6.34203857e+02  2.00072830e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  1.29381500e+02
  0.00000000e+00  8.07245350e+00  3.23233368e+02  1.52198669e+02
  7.12460938e+01  3.55156525e+02  3.71024475e+02  4.39630005e+02
  2.44489212e+02  0.00000000e+00  2.23724655e+02  0.00000000e+00
 -2.41277557e+02 -2.62539185e+02  3.05973206e+02  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.55947852e+03  9.05711746e+01  9.37963135e+02 -1.31779739e+02
  0.00000000e+00  0.00000000e+00  2.50631592e+02 -4.23679047e+02
  2.89626740e+02  0.00000000e+00  1.42486682e+03  0.00000000e+00
 -8.32402420e+01 -2.93309746e+01 -6.56462336e+01 -9.07730942e+01
  1.67837616e+02  0.00000000e+00]"
2019-01-15,"[ 1.          1.         -1.          1.         -1.          0.6581392
  1.         -1.          0.33610094 -1.         -0.46794367  1.
  0.8794701   1.          1.          1.         -0.66254544  1.
  1.          1.          1.          0.36225915 -0.2856369   0.5613177
 -0.00386329 -0.7806094   1.         -1.          0.41558278 -0.76598084
 -1.          0.18855937  1.          1.         -0.55050856 -1.
 -1.         -1.          1.          1.          1.         -1.
  1.         -1.         -1.         -1.         -1.          0.16407594
 -1.         -1.        ]","[ 5.40353638e+02  1.06331398e+02  0.00000000e+00  1.08091748e+03
  0.00000000e+00  4.07930786e+02  2.01213715e+02  0.00000000e+00
  3.20566284e+02  0.00000000e+00  0.00000000e+00  1.33239532e+02
  1.52984848e+02  8.21823788e+00  3.24513062e+02  1.53708527e+02
 -1.20806343e+02  3.53399353e+02  3.74215088e+02  4.50872894e+02
  2.51745865e+02  1.94936966e+02 -6.47855530e+01  0.00000000e+00
 -1.19014740e+00 -7.11700287e+01  3.04165863e+02  0.00000000e+00
  1.48223373e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  1.57287109e+03  9.20774689e+01 -5.24004395e+02 -1.26697659e+02
  0.00000000e+00  0.00000000e+00  2.54111526e+02  9.45018799e+02
  2.87845978e+02  0.00000000e+00  1.42857141e+03  0.00000000e+00
 -8.03398132e-01  0.00000000e+00  0.00000000e+00  1.50004883e+01
 -1.67837616e+02  0.00000000e+00]"
2019-01-16,"[ 1.         -0.40186554 -1.          0.666581   -1.          1.
  1.         -1.          1.         -1.         -1.         -0.9237479
 -1.          1.          0.6956868   1.          1.          1.
  1.          1.          1.         -0.07990286  1.         -1.
 -1.         -0.01358747  1.         -1.         -1.         -1.
 -1.         -0.09920716  1.          1.          1.         -0.42586344
 -1.         -1.          1.         -0.8605194   1.         -0.87895834
  0.82706606 -1.          1.         -1.          0.9829978   0.25875288
 -0.67905605 -1.        ]","[ 537.68066406  -42.29807663    0.          715.10821533    0.
  616.1505127   197.53475952    0.          943.20043945    0.
    0.         -118.4781189  -152.98484802    7.77767801  225.23904419
  147.28060913  178.31033325  345.56161499  356.09237671  440.76553345
  253.27355957  -41.81950378  218.24720764    0.         -291.17337036
    0.          303.35018921    0.         -148.22337341    0.
    0.            0.         1559.47851562   89.76725006  927.79870605
    0.            0.            0.          250.38684082 -800.45343018
  279.10351562    0.         1169.39453125    0.           83.10327911
    0.          134.29811096   22.21256828    0.            0.        ]"
