date,actions,transactions
2019-01-03,"[-1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1.
  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.          986.99145508  219.10316467
  236.56208801  136.66018677    0.            0.          322.70349121
    0.          187.71446228  393.11575317  385.83224487    0.
    0.            0.            0.            0.          360.73995972
  578.99853516  318.7149353   441.38027954  368.51959229  487.98577881
    0.            0.         1563.9173584    95.31471252    0.
  126.71027374    0.          195.07704163    0.            0.
  317.30517578    0.         1510.7565918     0.            0.
    0.            0.            0.          172.93080139    0.        ]"
2019-01-04,"[ 1. -1. -1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1.
 -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1.  1.  1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1. -1.]","[ 554.12097168    0.            0.            0.            0.
    0.          212.77864075    0.          990.80529785  223.17045593
  242.87289429  141.74464417    0.            0.          316.57992554
    0.          191.63769531  383.09771729 -385.83224487    0.
    0.            0.            0.            0.          358.46920776
  551.96166992  320.1557312   444.44445801  365.79119873  485.71984863
    0.            0.         1555.11315918   94.4586792   953.61608887
  124.94564819    0.          191.37510681    0.            0.
 -310.79064941    0.         1470.45849609    0.            0.
    0.            0.            0.         -172.93080139    0.        ]"
2019-01-07,"[ 1. -1. -1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1.
 -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1. -1.  1. -1.  1. -1.  1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1. -1.]","[  545.77404785     0.             0.             0.
     0.             0.           207.52398682     0.
   981.29650879   223.44171143   234.17120361   133.19020081
     0.             0.           317.08987427     0.
   190.4907074    364.67868042     0.             0.
     0.             0.             0.             0.
   349.27908325   501.83169556   313.42263794   439.4831543
  -357.36749268   471.68920898     0.             0.
 -1533.41308594    92.93974304  -909.73602295   119.82476807
     0.           184.44126892     0.             0.
    -6.51452637     0.          1435.99755859     0.
     0.             0.             0.             0.
     0.             0.        ]"
2019-01-08,"[-1. -1. -1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1.
  1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1. -1.]","[-544.68011475    0.            0.            0.            0.
    0.          207.44219971    0.          968.26043701  224.80397034
  234.38635254  135.12965393    0.            0.          318.52612305
    0.          186.4203949   353.54428101  388.99304199    0.
    0.            0.            0.            0.          339.99264526
  497.90383911  313.77078247  436.11749268 -358.07385254  467.88879395
    0.            0.         1542.02001953   93.41847992  924.45367432
  128.4617157     0.          188.47370911    0.            0.
    0.            0.         1435.99755859    0.            0.
    0.            0.            0.            0.            0.        ]"
2019-01-09,"[ 1. -1. -1. -1.  1. -1.  1. -1.  1.  1.  1.  1. -1. -1.  1. -1.  1.  1.
  1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1. -1. -1.]","[ 545.77404785    0.            0.            0.            0.
    0.          209.91027832    0.          971.94952393  227.57891846
  231.51255798  134.10327148    0.            0.          337.18624878
    0.          186.22805786  356.33856201  393.68838501    0.
    0.            0.            0.            0.          338.7052002
  477.33151245  307.46713257  436.48681641  -18.8694458   467.88879395
    0.            0.         1559.47851562   94.2556839   943.11151123
  132.31573486    0.          191.44325256    0.            0.
    0.            0.         1443.50134277    0.            0.
    0.            0.            0.            0.            0.        ]"
2019-01-10,"[-1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1. -1.  1. -1. -1.  1.
 -1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1. -1.  1.  1.  1.  1.  1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1.]","[-544.13476562    0.            0.            0.            0.
    0.         -205.98934937    0.          964.59918213  219.45127869
  228.81095886  130.3600769     0.            0.          333.75610352
    0.         -185.33482361  355.59854126 -372.87832642    0.
    0.            0.            0.            0.          329.27230835
  455.92565918  306.6355896   422.443573      0.          475.55187988
    0.            0.         1550.72424316   92.35230255  939.67297363
  131.47999573    0.          187.7454834     0.            0.
    0.            0.         1424.86682129    0.            0.
    0.            0.            0.          166.77729797    0.        ]"
2019-01-11,"[-1. -1. -1. -1. -1. -1.  1.  1.  1.  1. -1.  1. -1. -1. -1.  1.  1.  1.
 -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1. -1.]","[-545.77404785    0.            0.            0.            0.
    0.          204.79464722  458.00128174  971.94952393  222.63186646
 -227.58514404  128.64582825    0.            0.         -322.91604614
  155.10705566  184.45011902  347.80432129 -373.94641113    0.
    0.            0.            0.            0.          299.38146973
  470.70343018  306.80117798  425.60437012  354.33599854  486.6227417
    0.            0.         1568.38146973   91.4688797  -957.17596436
  132.92428589    0.          191.03291321    0.            0.
  293.59262085    0.         1435.99755859    0.            0.
    0.            0.           91.9185257   169.48233032    0.        ]"
2019-01-14,"[-1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1.]","[ -11.08013916    0.            0.            0.          303.97167969
    0.         -200.0728302   458.38336182  952.00012207  219.71261597
 -230.05006409  129.38150024    0.            0.          323.23336792
  152.19866943  182.33668518  355.15652466  -35.85668945    0.
  244.48921204    0.            0.            0.          312.67782593
  473.3324585   305.97320557  420.70544434  352.72622681  484.81558228
    0.            0.         1559.47851562   90.57117462 -937.96313477
  131.77973938    0.          191.71852112    0.            0.
  289.6267395     0.         1424.86682129    0.            0.
    0.            0.          -90.77309418  167.83761597    0.        ]"
2019-01-15,"[-1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1. -1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1. -1. -1.  1.  1. -1. -1. -1. -1. -1.  1. -1.]","[ 0.00000000e+00  0.00000000e+00  0.00000000e+00  0.00000000e+00
 -3.03434875e+02  0.00000000e+00  2.01213715e+02  4.66953674e+02
  9.53779846e+02  2.22363541e+02  2.38220016e+02  1.33239532e+02
  0.00000000e+00  0.00000000e+00  3.24513062e+02  1.53708527e+02
  1.82336685e+02  3.53399353e+02  0.00000000e+00  0.00000000e+00
 -2.44489212e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  3.08065765e+02  4.65957184e+02  3.04165863e+02  4.23140717e+02
  3.56663910e+02  4.90272980e+02  0.00000000e+00  0.00000000e+00
  1.57287109e+03  9.20774689e+01 -9.51855164e+02  1.32754883e+02
  0.00000000e+00  1.95576065e+02  0.00000000e+00  0.00000000e+00
 -2.87845978e+02  0.00000000e+00  1.42857141e+03  0.00000000e+00
  0.00000000e+00  0.00000000e+00  0.00000000e+00 -1.14543152e+00
  1.78088684e+02  0.00000000e+00]"
2019-01-16,"[-1. -1. -1. -1.  1. -1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.  1.  1.
 -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.  1.  1. -1.  1.  1.  1. -1.  1.
 -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1.]","[   0.            0.            0.            0.          293.09011841
    0.         -197.53475952  470.55279541  943.20043945  219.97554016
 -227.8901062   128.2580719     0.            0.          323.76498413
  147.28060913  178.31033325  345.56161499    0.            0.
    0.            0.            0.            0.          291.17337036
  423.63186646  303.35018921  416.93768311  352.04077148  481.24584961
    0.            0.         1559.47851562   89.76725006   -4.1239624
  130.68786621    0.          188.00950623    0.            0.
  279.10351562    0.         1413.90722656    0.            0.
    0.            0.            0.          171.80477905    0.        ]"
