date,actions,transactions
2019-01-03,"[-0.02780926  1.         -1.         -1.         -0.07566711  0.36016044
  1.         -1.         -0.14959013 -0.04487404  0.2642262  -0.17384237
 -1.          0.9845201   1.          1.         -0.33663064 -0.9103614
  0.57678944 -0.9890531  -0.81575197 -0.00446101  0.7963916   0.9895555
  0.6779603  -0.915924   -0.63088155 -0.8080835   1.          1.
 -0.3303461   1.          0.3217783   0.5352743  -0.21544942  1.
 -1.         -1.          0.17310482  1.         -1.         -0.4533795
 -1.          0.6133702   0.95715857 -1.         -0.46832505 -1.
 -0.9802341  -0.32978433]","[  0.         101.05501556   0.           0.           0.
 232.38856506 215.46337891   0.           0.           0.
  62.50590134   0.           0.           8.43709564 322.70349121
 168.67445374   0.           0.         222.54396057   0.
   0.           0.         186.33576965   0.         244.56735229
   0.           0.           0.         368.51959229 487.98577881
   0.           0.         503.23464966  51.01951599   0.
 126.71027374   0.           0.          44.47297287 953.45245361
   0.           0.           0.         456.84570312  80.84655762
   0.           0.           0.           0.           0.        ]"
2019-01-04,"[-0.32344386 -0.25775504 -1.          0.38685632  0.59291035  1.
 -1.          1.         -1.         -0.71056455  0.5904758   0.19907433
 -0.6330293  -0.5454825   0.83246845  0.3844729  -0.9259771  -1.
  1.          1.          0.6175591   0.06595373 -0.4226218  -0.1781542
 -0.54710764  0.42364514  1.          0.4976242   0.3901775  -0.1376472
  0.81632775  1.         -0.5581359  -0.7230377   0.35087907 -1.
  0.14328223  0.89237154 -0.33176953  0.7999036   1.          1.
  0.30996633 -1.         -1.          1.         -1.         -0.25635406
 -1.         -1.        ]","[   0.          -26.40380859    0.          438.90124512    0.
  654.9989624  -212.77864075  461.85110474    0.            0.
  143.41056824   28.21772194    0.           -4.7458005   263.54278564
   64.13996124    0.            0.          388.12643433  466.50494385
  160.88970947   38.07116699  -99.68106079    0.         -196.12123108
  233.83586121  320.1557312   221.16629028  142.72349548  -66.85797119
  268.33114624    0.         -503.23464966  -51.01951599  334.60394287
 -124.94564819  151.37792969  170.77770996  -44.47297287  762.67004395
  310.79064941    0.          455.79263306 -456.84570312  -80.84655762
   69.58690643    0.            0.            0.            0.        ]"
2019-01-07,"[ 0.40941548 -0.66425    -1.          0.06249385  0.24814814 -0.49303016
 -0.08792947  0.95960414 -0.01876428 -0.6497257   0.2255597   0.71382815
 -0.7610993  -1.          0.25508845  0.9424175  -0.754191   -1.
 -0.77254796  0.03040271  1.         -0.47803676  0.5558475  -1.
 -0.1105935  -0.49649778 -0.54331     0.47163475  1.          1.
 -1.         -0.35930184 -0.18186323  0.57927793 -1.          1.
  0.91710174 -0.34946918 -0.70155764  1.         -0.31519842  0.6939612
  0.4247527  -0.4764632   0.9329206  -1.          0.6828728   0.5696337
 -0.10910285  1.        ]","[ 223.448349    -67.88035583    0.           70.06665039    0.
 -317.33056641   -2.68473816  431.23623657    0.            0.
   52.81958389   95.07491302    0.           -3.69129515   80.88596344
  150.61618042    0.            0.         -296.75717163   13.91631889
  243.18238831  -38.07116699  129.82359314    0.          -38.62799454
 -233.83586121 -170.28565979  207.27554321  357.36749268  471.68920898
 -268.33114624    0.            0.           53.83794022 -334.60394287
  119.82476807  956.05126953  -64.45654297    0.          931.82751465
  -91.70315552    0.          609.94390869    0.           82.52545929
  -69.51019287   93.03772736   53.23152542    0.          115.83190155]"
2019-01-08,"[ 0.7702836  -0.34186882 -0.6416136  -0.11551636 -0.3560226  -0.49744362
  0.2909723   0.26219615  1.          0.09154913  0.9749823   0.525365
 -0.29144317 -0.27045667 -1.         -1.          0.3213111  -1.
 -0.09190451  0.34408274  0.00997792  0.03301437  0.12984216  0.7458689
  1.         -0.07459088 -0.2352114   0.69737315  0.25659025  0.9504719
 -0.25430292  1.         -0.5370461   0.48712844 -0.4144625  -1.
  1.          0.99150187 -0.8682362   0.33862203  0.7437531   0.74255776
 -0.7271584  -1.         -1.         -1.          0.2966869   1.
  1.         -0.3987596 ]","[ 4.19558167e+02 -6.77085114e+00  0.00000000e+00 -1.27512756e+02
  0.00000000e+00 -3.17417236e+02  6.03599319e+01  1.18506729e+02
  9.68260437e+02  2.05806065e+01  2.28522552e+02  7.09923935e+01
  0.00000000e+00  0.00000000e+00 -3.18526123e+02 -1.54181076e+02
  5.98989372e+01  0.00000000e+00 -3.57502136e+01  1.54185181e+02
  2.37792683e+00  1.77469902e+01  2.99928761e+01  0.00000000e+00
  3.39992645e+02  0.00000000e+00 -7.38024597e+01  3.04136627e+02
  9.18782654e+01  4.44715149e+02  0.00000000e+00  0.00000000e+00
  0.00000000e+00  4.55067978e+01  0.00000000e+00 -1.21589394e+02
  1.04843787e+03  1.86872025e+02  0.00000000e+00  3.14985504e+02
  2.16508133e+02  0.00000000e+00 -1.04419775e+03  0.00000000e+00
 -8.25254593e+01 -7.67135620e-02  4.06346931e+01  9.22233582e+01
  1.63567612e+02 -4.45956001e+01]"
2019-01-09,"[-0.9154959  -1.         -0.9225178  -1.          1.          0.90784025
  0.9341119   0.34188887 -0.30574813 -0.07832029  1.         -0.40221104
  0.28439364  0.3242665   1.         -0.44313183 -0.02002333 -0.7208117
  0.15267375  0.31490025  1.          0.5066223  -0.1759772   0.86832535
  1.          1.          0.85363066 -0.98223156 -1.          1.
 -1.          0.57683694 -1.          0.33506513 -0.40050822 -1.
  0.88627136  0.09043716 -0.20419297  0.04370022 -0.60818756  0.40103817
  0.739857   -0.0966523  -0.35682744  1.          0.50425667 -1.
  0.8690324  -0.16849092]","[-499.65393066    0.            0.         -381.45513916    0.
  582.15039062  196.07969666  156.71617126 -297.17175293  -17.82404709
  231.51255798  -53.93781281   53.49143219    2.75218868  337.18624878
  -68.64535522   -3.72890687    0.           60.10588455  141.60456848
  243.65640259  273.7640686   -40.95559692    0.          338.7052002
  477.33151245  262.46337891 -428.73110962 -356.66390991  467.88879395
    0.            0.            0.           31.58179283    0.
    0.          936.347229     17.31358337    0.           40.79253006
 -176.34655762    0.         1067.98461914    0.            0.
   67.55342102   69.71072388  -93.63453674  145.36982727  -19.36672783]"
2019-01-10,"[-0.64524865 -1.         -0.40977764 -1.         -0.20083547  0.25565362
 -1.         -0.4705573   0.8649411   0.535423   -0.13135129 -1.
 -0.85433894  0.9765983   1.          1.          0.8809068   1.
 -0.577327   -1.          0.16522142  1.         -1.         -0.41035724
  0.99012923 -0.06862123  0.49339628 -0.90575767  0.36418432 -0.75644267
 -0.02733827 -0.95988935 -0.67591125 -1.         -0.5099559   0.6997603
  0.48599267 -0.48376223  1.          1.          0.64718974 -1.
  1.         -0.5639811   0.95138174 -0.9730697   0.8608093   1.
 -0.41679984 -1.        ]","[-143.35258484    0.            0.            0.            0.
  163.735672   -205.98934937 -213.03175354  834.3215332   117.49926758
  -30.05461502 -130.3600769   -53.49143219    8.13638306  333.75610352
  156.21582031  163.26271057  355.59854126 -215.27272034 -435.13827515
   39.00392914  533.11157227 -205.51558113    0.          326.02212524
  -31.2861824   151.29286194 -303.84735107  128.79171753 -359.72772217
    0.            0.            0.          -92.35230255    0.
   92.00447845  507.59594727  -90.82417297  252.11143494  935.08630371
  185.56454468    0.         1424.86682129    0.           78.90726471
  -65.78716278  117.99603271   90.37097168  -69.51274872  -51.86957359]"
2019-01-11,"[ 0.9105548   0.7488828  -0.6824685  -1.         -1.          0.56863075
  0.30764133  0.35713843 -1.         -1.          1.          0.21820354
  0.816134    0.22405899 -0.35082227  1.          1.         -1.
  0.34909263  1.         -0.01267759 -0.61382204  0.49682736 -0.87846124
 -0.32717752  1.         -0.55490816  1.         -0.44579452 -0.2584112
  1.         -0.5043484   0.1407222   0.31097683 -0.89487123 -0.6817697
  1.         -1.         -0.75104713 -0.6542202   0.813985    0.40555722
 -1.          0.08590764 -0.5243281   0.7001692  -0.18321738  0.11301903
  0.3561555   1.        ]","[  496.95718384    76.55973053     0.             0.
     0.           367.35626221    63.00329971   163.56985474
  -971.94952393  -120.25582695   227.58514404    28.07097435
   144.66253662     1.85871935  -113.28614044   155.10705566
   184.45011902  -347.80432129   130.54193115   438.87368774
    -3.08146763  -333.43582153   113.12509918     0.
   -97.95088959   470.70343018  -170.24647522   425.60437012
  -157.96105957  -125.74877167   312.48828125     0.
   220.70608521    28.44470215     0.           -90.62374878
  1052.4543457   -191.03291321  -189.62675476  -614.98419189
   238.97999573     0.         -1435.99755859    62.33050156
   -44.0664444     47.42601395   -25.04865265    10.38854218
    60.36206818   115.09281158]"
2019-01-14,"[ 0.5826267   0.27586964 -0.95294094  0.56694806  1.          1.
 -0.39064968  0.05676854 -1.          0.37233457  0.88088346 -0.9843923
 -1.         -1.         -1.          1.         -1.         -1.
  0.343758    1.          1.         -0.79831004  0.3932341   0.85036105
  0.9484996   0.72370005 -0.6815357   0.19441149  0.7601553   0.6983382
  0.44302705  0.3735746   0.91033757 -1.         -0.63360536 -0.85164106
  0.3839965   0.40243924  0.6535561   0.532132   -0.5534291   0.30630183
  0.4337793  -0.36641046  0.02702788 -0.2895594  -0.20079221 -0.6644334
 -1.          1.        ]","[ 3.15134369e+02  2.86047783e+01  0.00000000e+00  6.05946777e+02
  3.03971680e+02  6.34203857e+02 -7.81583862e+01  2.60217533e+01
 -5.33460693e+02  8.18066025e+01  2.02647293e+02 -3.80581131e+01
 -1.44662537e+02 -8.07245350e+00 -3.23233368e+02  1.52198669e+02
 -1.82336685e+02 -7.79421997e+00  1.27542625e+02  4.39630005e+02
  2.44489212e+02 -4.30931946e+02  8.79761658e+01  0.00000000e+00
  2.96574799e+02  3.42550720e+02 -2.08531677e+02  8.17899704e+01
  2.68126709e+02  3.38565247e+02  1.38024979e+02  0.00000000e+00
  1.41965198e+03 -6.70189304e+01  0.00000000e+00 -1.38072968e+00
  4.02596436e+02  7.71550598e+01  1.63801804e+02  4.99345032e+02
 -1.60287872e+02  0.00000000e+00  6.18077698e+02 -6.23305016e+01
  2.24980688e+00 -1.96133270e+01 -2.74362526e+01 -6.03126755e+01
 -1.67837616e+02  1.14886009e+02]"
2019-01-15,"[-1.         -0.2213589   1.          1.         -0.9671753   1.
  0.6004348   0.42695028 -1.          1.         -0.22091317 -1.
 -0.95936227  1.         -0.16823505 -0.10845137 -0.59871054 -0.15037572
 -0.7853888   1.         -1.         -1.         -0.3609982  -0.45567718
  0.8101186  -0.68414295 -0.4279657  -1.          0.8424042   0.12277724
  0.5823393   0.17132479  0.480731   -0.8532671  -0.33714372 -1.
 -0.24372023  0.82373965 -0.09647234  1.         -0.2617877   0.19737771
 -0.36020654  0.23128632 -0.3855387   0.53145707 -0.11375353 -0.8783504
 -0.98191905 -0.08000293]","[-540.3536377   -23.53739929  979.0291748  1080.91748047 -293.47473145
  619.82446289  120.81571198  199.36601257    0.          222.36354065
  -52.62594223    0.            0.            8.21823788  -54.59447098
  -16.66989899 -109.16689301    0.         -293.90432739  450.87289429
 -251.74586487  -60.25486374  -81.87831879    0.          249.56982422
 -318.78131104 -111.04570007 -423.14071655  300.45516968   60.19436264
  183.40817261    0.          756.12792969    0.            0.
    0.         -257.49084473  161.10375977  -24.51473236  945.01879883
  -75.35454559    0.         -514.58074951  168.72853088  -33.23145294
   36.17820358  -15.72358418  -80.30236053 -131.94914246   -9.62344074]"
2019-01-16,"[-1.          1.         -0.19992098  0.2518703   0.5571643  -0.5656644
 -0.28042266  1.         -0.08834153  0.14212179  0.12352614 -1.
 -0.8227929  -0.43582082  0.27308333  1.          0.55216366  0.18715376
 -0.06988391 -0.21352214  1.         -1.         -0.5944904  -0.81434405
 -0.90740323  1.          0.19261952  1.          0.93607515  0.530192
 -0.6952846  -0.5306721  -0.06117874 -1.          0.4502663   0.53202325
 -0.44639498 -0.05212429  0.52963394  0.83394814 -0.7239035  -0.47391832
  0.7712355  -0.13416131  0.73140585  1.          0.47373998  0.09504455
 -1.          1.        ]","[-271.73791504  105.25429535 -193.69935608  270.20651245  163.29934692
 -348.53442383  -55.39322281  470.55279541    0.           31.26331711
   28.150383      0.            0.           -3.38967371   88.41482544
  147.28060913   98.45648956   64.67315674  -24.88512802  -94.11319733
  253.27355957    0.         -119.22294617    0.         -264.21166992
  423.63186646   58.43117142  416.93768311  329.53665161  255.15272522
 -215.71118164    0.          -95.40692139    0.          417.75650024
   69.52898407 -468.91213989   -9.79986191  132.6133728   775.73687744
 -202.04400635    0.         1090.45544434  -97.47402954   60.78222275
   67.7350769    64.7228241     8.15907288    0.          117.04612732]"
