date,actions,transactions
2019-01-03,"[ 1.  1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1. -1.  1. -1.  1.  1.
 -1. -1.  1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1.  1. -1. -1.  1.  1.]","[ 560.40618896  101.05501556  992.89093018 1141.31799316    0.
    0.            0.            0.          986.99145508    0.
    0.            0.            0.            0.          322.70349121
    0.          187.71446228  393.11575317    0.            0.
  239.11546326    0.            0.            0.            0.
    0.            0.          441.38027954    0.          487.98577881
  337.24310303    0.            0.           95.31471252    0.
  126.71027374    0.            0.          256.9135437     0.
    0.            0.         1510.7565918   744.81237793    0.
   69.08138275    0.            0.          172.93080139  117.63321686]"
2019-01-04,"[ 1.  1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1.
 -1. -1.  1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[ 554.12097168  102.43760681  989.39367676 1134.53295898    0.
    0.            0.            0.          990.80529785    0.
    0.            0.            0.            8.70018864  316.57992554
  166.82571411  191.63769531 -383.09771729    0.            0.
  260.52520752  577.24053955    0.            0.            0.
    0.            0.          444.44445801    0.          485.71984863
  328.70516968    0.            0.           94.4586792     0.
  124.94564819    0.            0.          254.23686218    0.
    0.            0.         1470.45849609  739.6449585     0.
  -69.08138275    0.            0.          176.1499939   118.82553101]"
2019-01-07,"[ 1.  1.  1.  1. -1. -1. -1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1.
 -1. -1.  1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[ 545.77404785  102.19097137  970.55340576 1121.17675781    0.
    0.            0.            0.          981.29650879    0.
    0.            0.            0.            8.52676296  317.08987427
  159.81895447  190.4907074   -10.01803589    0.            0.
  243.18238831  539.24053955    0.            0.            0.
    0.            0.          439.4831543     0.          471.68920898
  309.69338989    0.            0.           92.93974304    0.
  119.82476807    0.            0.          250.14257812    0.
    0.            0.         1435.99755859  731.52886963    0.
    0.            0.            0.          170.98460388  115.83190155]"
2019-01-08,"[ 1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1.  1. -1.
 -1. -1. -1. -1.  1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1.  1.  1.  1.]","[ 544.68011475  102.27291107  973.91845703 1103.85021973    0.
    0.            0.            0.         -968.26043701  224.80397034
    0.            0.            0.            8.47761536  318.52612305
  154.18107605  186.4203949     0.            0.            0.
 -238.31880188 -537.5534668   230.99488831    0.            0.
    0.            0.          436.11749268    0.          467.88879395
  309.14004517    0.         1542.02001953   93.41847992    0.
  128.4617157     0.            0.          253.35697937    0.
    0.            0.         1435.99755859  728.52313232    0.
    0.            0.           92.22335815  163.56761169  111.8358078 ]"
2019-01-09,"[ 1.  1.  1.  1. -1. -1. -1. -1. -1.  1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1. -1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[ 545.77404785  102.14984894  975.62878418 1091.2265625     0.
    0.            0.            0.         -971.94952393  227.57891846
    0.            0.            0.            8.48742867  337.18624878
  154.9095459   186.22805786  356.33856201    0.            0.
 -243.65640259 -540.37115479 -230.99488831    0.            0.
    0.            0.          436.48681641    0.          467.88879395
  309.32363892    0.         1559.47851562   94.2556839     0.
  132.31573486    0.            0.          256.39974976    0.
    0.            0.         1443.50134277  727.53729248    0.
    0.            0.          -92.22335815  167.27778625  114.94226074]"
2019-01-10,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[ 544.13476562  100.43689728  973.91845703 1068.78710938    0.
    0.          205.98934937    0.         -964.59918213 -219.45127869
    0.            0.            0.            8.33135033  333.75610352
  156.21582031  185.33482361  355.59854126    0.            0.
  236.07064819  -38.55645752    0.            0.          329.27230835
    0.            0.          422.443573      0.          475.55187988
  308.95666504    0.         1550.72424316   92.35230255    0.
  131.47999573    0.            0.          252.11143494    0.
    0.            0.         1424.86682129  727.53729248    0.
    0.            0.            0.          166.77729797  113.24002075]"
2019-01-11,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1.  1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1.  1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.]","[ 545.77404785  102.23192596  977.3260498  1078.86499023    0.
    0.          204.79464722    0.          -54.28411865 -222.63186646
  227.58514404    0.            0.            8.29566956  322.91604614
  155.10705566  184.45011902  347.80432129    0.            0.
 -243.06416321  543.21258545    0.            0.          299.38146973
    0.            0.          425.60437012    0.          486.6227417
  312.48828125    0.         1568.38146973   91.4688797     0.
  132.92428589    0.            0.          252.48316956  940.02630615
    0.            0.         1435.99755859  725.55249023    0.
    0.          136.71549988    0.          169.48233032  115.09281158]"
2019-01-14,"[ 1.  1. -1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1. -1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1. -1.  1.]","[ 540.88555908  103.68947601 -972.23303223 1068.78710938    0.
    0.          200.0728302     0.          952.00012207  -10.29974365
 -227.58514404    0.            0.            8.0724535   323.23336792
  152.19866943  182.33668518  355.15652466    0.            0.
 -244.48921204 -539.80523682    0.            0.          312.67782593
    0.            0.          420.70544434    0.          484.81558228
  311.54977417    0.         1559.47851562   90.57117462    0.
  131.77973938    0.            0.          250.6315918  -938.38562012
    0.            0.         1424.86682129  722.60601807    0.
    0.         -136.64001465    0.         -167.83761597  114.88600922]"
2019-01-15,"[ 1.  1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1. -1.  1.  1.  1.  1. -1.
 -1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1.  1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[ 5.40353638e+02  1.06331398e+02  9.79029175e+02  1.08091748e+03
  0.00000000e+00  0.00000000e+00  2.01213715e+02  0.00000000e+00
  9.53779846e+02  0.00000000e+00  0.00000000e+00  0.00000000e+00
  0.00000000e+00  8.21823788e+00  3.24513062e+02  1.53708527e+02
  1.82336685e+02 -3.53399353e+02  0.00000000e+00  0.00000000e+00
  2.51745865e+02 -3.40734863e+00  0.00000000e+00  0.00000000e+00
  3.08065765e+02  0.00000000e+00  0.00000000e+00  4.23140717e+02
  0.00000000e+00  4.90272980e+02  3.14950714e+02  0.00000000e+00
  1.57287109e+03  9.20774689e+01  0.00000000e+00  1.32754883e+02
  0.00000000e+00  0.00000000e+00  2.54111526e+02  9.45018799e+02
  0.00000000e+00  0.00000000e+00  1.42857141e+03  7.29522339e+02
  0.00000000e+00  0.00000000e+00 -7.54852295e-02  0.00000000e+00
  1.78088684e+02  1.20288597e+02]"
2019-01-16,"[ 1.  1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.  1. -1. -1.  1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1.  1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
2019-01-17,"[ 1.  1.  1.  1. -1. -1.  1. -1.  1. -1. -1. -1.  1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1. -1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[ 536.61889648  107.2273407   968.87957764 1060.8503418     0.
    0.          197.167099      0.          950.22711182    0.
    0.            0.          167.54627991    7.76450062  330.06350708
  144.21524048  178.78149414  347.80432129    0.            0.
  252.63497925    0.            0.            0.          294.73486328
    0.            0.         -422.443573      0.          484.36471558
  310.8041687     0.         1563.9173584    89.53801727    0.
  130.49105835    0.            0.          246.05935669 -928.59130859
    0.            0.         1406.70715332  726.54351807    0.
    0.            0.            0.          170.98460388  115.69842529]"
2019-01-18,"[ 1.  1.  1.  1. -1. -1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.  1.
 -1. -1.  1. -1.  1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1.  1.  1.  1.  1. -1. -1. -1. -1.  1.  1.]","[   0.            0.            0.            0.            0.
    0.         -199.99760437    0.         -960.96557617    0.
    0.            0.         -167.54627991    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.         -428.45269775    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.          -18.06817627
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
2019-01-21,"[ 1.  1.  1.  1. -1. -1.  1. -1. -1. -1. -1. -1. -1. -1.  1.  1.  1.  1.
 -1.  1.  1. -1. -1.  1.  1. -1. -1. -1. -1.  1.  1.  1.  1.  1. -1.  1.
 -1. -1.  1. -1. -1. -1.  1.  1. -1.  1. -1. -1.  1.  1.]","[   0.            0.            0.            0.            0.
    0.            0.            0.         -950.22711182    0.
    0.            0.            0.           -7.50883007    0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.         -424.89547729    0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.
    0.            0.            0.            0.            0.        ]"
