date,actions,transactions
2019-01-03,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 560.40618896    0.            0.         1141.31799316    0.
  645.23620605    0.          469.34695435    0.            0.
    0.          136.66018677    0.            8.5697546   322.70349121
  168.67445374    0.            0.            0.          459.3772583
  239.11546326  589.10162354  233.97505188    0.          360.73995972
  578.99853516    0.          441.38027954    0.            0.
  337.24310303    0.            0.           95.31471252    0.
  126.71027374 1056.50170898    0.          256.9135437   953.45245361
    0.            0.         1510.7565918   744.81237793    0.
    0.          137.47557068    0.            0.            0.        ]"
2019-01-04,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 554.12097168    0.            0.         1134.53295898    0.
  654.9989624     0.          461.85110474    0.            0.
    0.          141.74464417    0.            8.70018864  316.57992554
  166.82571411    0.            0.            0.          466.50494385
  260.52520752  577.24053955  235.86352539    0.          358.46920776
  551.96166992    0.          444.44445801    0.            0.
  328.70516968    0.            0.           94.4586792     0.
  124.94564819 1056.50170898    0.          254.23686218  953.45245361
    0.            0.         1470.45849609  739.6449585     0.
    0.          138.08988953    0.            0.            0.        ]"
2019-01-07,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 545.77404785    0.            0.         1121.17675781    0.
  643.63317871    0.          449.38973999    0.            0.
    0.          133.19020081    0.            8.52676296  317.08987427
  159.81895447    0.            0.            0.          457.73294067
  243.18238831  539.24053955  233.55973816    0.          349.27908325
  501.83169556    0.          439.4831543     0.            0.
  309.69338989    0.            0.           92.93974304    0.
  119.82476807 1042.47021484    0.          250.14257812  931.82751465
    0.            0.         1435.99755859  731.52886963    0.
    0.          136.24461365    0.            0.            0.        ]"
2019-01-08,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 544.68011475    0.            0.         1103.85021973    0.
  638.09692383    0.          451.97738647    0.            0.
    0.          135.12965393    0.            8.47761536  318.52612305
  154.18107605    0.            0.            0.          448.10494995
  238.31880188  537.5534668   230.99488831    0.          339.99264526
  497.90383911    0.          436.11749268    0.            0.
  309.14004517    0.            0.           93.41847992    0.
  128.4617157  1048.43786621    0.          253.35697937  930.19793701
    0.            0.         1435.99755859  728.52313232    0.
    0.          136.96153259    0.            0.            0.        ]"
2019-01-09,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 545.77404785    0.            0.         1091.2265625     0.
  641.24761963    0.          458.38336182    0.            0.
    0.          134.10327148    0.            8.48742867  337.18624878
  154.9095459     0.            0.            0.          449.6807251
  243.65640259  540.37115479  232.73242188    0.          338.7052002
  477.33151245    0.          436.48681641    0.            0.
  309.32363892    0.            0.           94.2556839     0.
  132.31573486 1056.50170898    0.          256.39974976  933.46276855
    0.            0.         1443.50134277  727.53729248    0.
    0.          138.24452209    0.            0.            0.        ]"
2019-01-10,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 544.13476562    0.            0.         1068.78710938    0.
  640.45910645    0.          452.722229      0.            0.
    0.          130.3600769     0.            8.33135033  333.75610352
  156.21582031    0.            0.            0.          435.13827515
  236.07064819  533.11157227  230.69114685    0.          329.27230835
  455.92565918    0.          422.443573      0.            0.
  308.95666504    0.            0.           92.35230255    0.
  131.47999573 1044.4519043     0.          252.11143494  935.08630371
    0.            0.         1424.86682129  727.53729248    0.
    0.          137.07568359    0.            0.            0.        ]"
2019-01-11,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 545.77404785    0.            0.         1078.86499023    0.
  646.03656006    0.          458.00128174    0.            0.
    0.          128.64582825    0.            8.29566956  322.91604614
  155.10705566    0.            0.            0.          438.87368774
  243.06416321  543.21258545  227.69499207    0.          299.38146973
  470.70343018    0.          425.60437012    0.            0.
  312.48828125    0.            0.           91.4688797     0.
  132.92428589 1052.4543457     0.          252.48316956  940.02630615
    0.            0.         1435.99755859  725.55249023    0.
    0.          136.71549988    0.            0.            0.        ]"
2019-01-14,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[ 540.88555908    0.            0.         1068.78710938    0.
  634.20385742    0.          458.38336182    0.            0.
    0.          129.38150024    0.            8.0724535   323.23336792
  152.19866943    0.            0.            0.          439.63000488
  244.48921204  539.80523682  223.72465515    0.          312.67782593
  473.3324585     0.          420.70544434    0.            0.
  311.54977417    0.            0.           90.57117462    0.
  131.77973938 1048.43786621    0.          250.6315918   938.38562012
    0.            0.         1424.86682129  722.60601807    0.
    0.          136.64001465    0.            0.            0.        ]"
2019-01-15,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
2019-01-16,"[ 1. -1. -1.  1. -1.  1. -1.  1. -1. -1. -1.  1. -1.  1.  1.  1. -1. -1.
 -1.  1.  1.  1.  1. -1.  1.  1. -1.  1. -1. -1.  1. -1. -1.  1. -1.  1.
  1. -1.  1.  1. -1. -1.  1.  1. -1. -1.  1. -1. -1. -1.]","[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0.]"
